,Código da IES,Nome da IES*,Sigla da IES*,Município do Curso**,Sigla da UF** ,Conceito Enade (Contínuo),Conceito Enade (Faixa)
4048,343.0,CENTRO UNIVERSITÁRIO NEWTON PAIVA,NEWTON PAIVA,Belo Horizonte,MG,2.652,3
4049,367.0,UNIVERSIDADE ESTADUAL DE MONTES CLAROS,UNIMONTES,Januária,MG,2.01,3
4050,367.0,UNIVERSIDADE ESTADUAL DE MONTES CLAROS,UNIMONTES,Montes Claros,MG,2.244,3
4051,367.0,UNIVERSIDADE ESTADUAL DE MONTES CLAROS,UNIMONTES,Unaí,MG,1.317,2
4052,367.0,UNIVERSIDADE ESTADUAL DE MONTES CLAROS,UNIMONTES,Espinosa,MG,2.473,3
4053,367.0,UNIVERSIDADE ESTADUAL DE MONTES CLAROS,UNIMONTES,Almenara,MG,1.248,2
4054,374.0,CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS,FMU,São Paulo,SP,3.542,4
4055,374.0,CENTRO UNIVERSITÁRIO DAS FACULDADES METROPOLITANAS UNIDAS,FMU,São Paulo,SP,2.998,4
4056,375.0,UNIVERSIDADE SANTO AMARO,UNISA,São Paulo,SP,1.815,2
4057,375.0,UNIVERSIDADE SANTO AMARO,UNISA,São Paulo,SP,2.401,3
4060,385.0,UNIVERSIDADE SALVADOR,UNIFACS,Salvador,BA,1.768,2
4061,387.0,UNIVERSIDADE CATÓLICA DOM BOSCO,UCDB,Campo Grande,MS,1.796,2
4062,403.0,UNIVERSIDADE CATÓLICA DE BRASÍLIA,UCB,Brasília,DF,2.559,3
4063,409.0,UNIVERSIDADE DE PERNAMBUCO,UPE,Garanhuns,PE,2.319,3
4064,409.0,UNIVERSIDADE DE PERNAMBUCO,UPE,Recife,PE,1.011,2
4066,437.0,UNIVERSIDADE PARANAENSE,UNIPAR,Umuarama,PR,1.567,2
4068,448.0,CENTRO UNIVERSITÁRIO RITTER DOS REIS,UNIRITTER,Porto Alegre,RS,2.356,3
4069,448.0,CENTRO UNIVERSITÁRIO RITTER DOS REIS,UNIRITTER,Porto Alegre,RS,2.343,3
4070,449.0,UNIVERSIDADE LUTERANA DO BRASIL,ULBRA,Canoas,RS,2.469,3
4071,466.0,UNIVERSIDADE ANHEMBI MORUMBI,UAM,São Paulo,SP,2.99,4
4072,472.0,UNIVERSIDADE DO GRANDE RIO PROFESSOR JOSÉ DE SOUZA HERDY,UNIGRANRIO,Duque de Caxias,RJ,3.258,4
4073,474.0,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DOM BOSCO,FFCLDB,Resende,RJ,2.623,3
4074,481.0,Universidade Universus Veritas Guarulhos,Univeritas UNG,Sorocaba,SP,1.31,2
4075,482.0,UNIVERSIDADE DO EXTREMO SUL CATARINENSE,UNESC,Criciúma,SC,2.684,3
4076,494.0,UNIVERSIDADE DO SUL DE SANTA CATARINA,UNISUL,Tubarão,SC,2.077,3
4077,496.0,UNIVERSIDADE DE FRANCA,UNIFRAN,Franca,SP,3.98,5
4078,519.0,UNIVERSIDADE CATÓLICA DO SALVADOR,UCSAL,Salvador,BA,1.881,2
4079,522.0,CENTRO UNIVERSITÁRIO CELSO LISBOA,UCL,Rio de Janeiro,RJ,1.396,2
4080,527.0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE GOIÁS,PUC GOIÁS,Goiânia,GO,2.352,3
4081,528.0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,PUC-RIO,Rio de Janeiro,RJ,4.015,5
4082,546.0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,PUCSP,São Paulo,SP,4.18,5
4083,547.0,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,São Gonçalo,RJ,2.48,3
4084,547.0,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,Rio de Janeiro,RJ,3.483,4
4085,548.0,UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,Bacabal,MA,2.632,3
4086,548.0,UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,São Luís,MA,1.745,2
4087,549.0,UNIVERSIDADE FEDERAL DO ACRE,UFAC,Rio Branco,AC,3.047,4
4088,549.0,UNIVERSIDADE FEDERAL DO ACRE,UFAC,Cruzeiro do Sul,AC,2.109,3
4089,550.0,UNIVERSIDADE ESTADUAL DA PARAÍBA,UEPB,Guarabira,PB,1.603,2
4090,550.0,UNIVERSIDADE ESTADUAL DA PARAÍBA,UEPB,Campina Grande,PB,2.461,3
4091,550.0,UNIVERSIDADE ESTADUAL DA PARAÍBA,UEPB,Catolé do Rocha,PB,1.652,2
4092,550.0,UNIVERSIDADE ESTADUAL DA PARAÍBA,UEPB,Monteiro,PB,2.294,3
4093,568.0,UNIVERSIDADE ESTADUAL DO MARANHÃO,UEMA,Santa Inês,MA,1.275,2
4094,568.0,UNIVERSIDADE ESTADUAL DO MARANHÃO,UEMA,Caxias,MA,1.921,2
4095,568.0,UNIVERSIDADE ESTADUAL DO MARANHÃO,UEMA,São Luís,MA,3.022,4
4096,568.0,UNIVERSIDADE ESTADUAL DO MARANHÃO,UEMA,Timon,MA,1.523,2
4097,568.0,UNIVERSIDADE ESTADUAL DO MARANHÃO,UEMA,Pedreiras,MA,1.843,2
4098,568.0,UNIVERSIDADE ESTADUAL DO MARANHÃO,UEMA,Zé Doca,MA,1.568,2
4099,568.0,UNIVERSIDADE ESTADUAL DO MARANHÃO,UEMA,Itapecuru Mirim,MA,1.26,2
4100,568.0,UNIVERSIDADE ESTADUAL DO MARANHÃO,UEMA,Presidente Dutra,MA,1.557,2
4101,568.0,UNIVERSIDADE ESTADUAL DO MARANHÃO,UEMA,São João dos Patos,MA,0.938,1
4102,568.0,UNIVERSIDADE ESTADUAL DO MARANHÃO,UEMA,Colinas,MA,1.795,2
