,Código da IES,Nome da IES*,Sigla da IES*,Município do Curso**,Sigla da UF** ,Conceito Enade (Contínuo),Conceito Enade (Faixa)
1415,203.0,UNIVERSIDADE SÃO JUDAS TADEU,USJT,São Paulo,SP,2.525,3
1416,203.0,UNIVERSIDADE SÃO JUDAS TADEU,USJT,São Paulo,SP,2.89,3
1417,316.0,UNIVERSIDADE NOVE DE JULHO,UNINOVE,São Paulo,SP,1.497,2
1418,316.0,UNIVERSIDADE NOVE DE JULHO,UNINOVE,São Paulo,SP,1.542,2
1419,316.0,UNIVERSIDADE NOVE DE JULHO,UNINOVE,São Paulo,SP,0.578,1
1420,349.0,CENTRO UNIVERSITÁRIO DE BELO HORIZONTE,UNI-BH,Belo Horizonte,MG,2.223,3
1421,370.0,FACULDADE PAULISTA DE ARTES,FPA,São Paulo,SP,3.056,4
1423,385.0,UNIVERSIDADE SALVADOR,UNIFACS,Salvador,BA,2.426,3
1424,403.0,UNIVERSIDADE CATÓLICA DE BRASÍLIA,UCB,Brasília,DF,4.14,5
1425,426.0,UNIVERSIDADE FRANCISCANA,UFN,Santa Maria,RS,4.328,5
1426,449.0,UNIVERSIDADE LUTERANA DO BRASIL,ULBRA,Canoas,RS,2.441,3
1427,449.0,UNIVERSIDADE LUTERANA DO BRASIL,ULBRA,Carazinho,RS,0.916,1
1428,457.0,UNIVERSIDADE ANHANGUERA DE SÃO PAULO,UNIAN - SP,São Bernardo do Campo,SP,1.785,2
1429,461.0,CENTRO UNIVERSITÁRIO ARMANDO ALVARES PENTEADO,FA-FAAP,São Paulo,SP,3.354,4
1431,482.0,UNIVERSIDADE DO EXTREMO SUL CATARINENSE,UNESC,Criciúma,SC,0.106,1
1432,489.0,CENTRO UNIVERSITÁRIO DE VOLTA REDONDA,UNIFOA,Volta Redonda,RJ,2.25,3
1433,494.0,UNIVERSIDADE DO SUL DE SANTA CATARINA,UNISUL,Florianópolis,SC,2.754,3
1434,502.0,CENTRO UNIVERSITÁRIO SÃO JUDAS TADEU,CSJT,Santos,SP,3.468,4
1435,527.0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE GOIÁS,PUC GOIÁS,Goiânia,GO,2.76,3
1436,528.0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,PUC-RIO,Rio de Janeiro,RJ,3.489,4
1437,528.0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,PUC-RIO,Rio de Janeiro,RJ,3.087,4
1438,528.0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,PUC-RIO,Rio de Janeiro,RJ,3.974,5
1439,528.0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO DE JANEIRO,PUC-RIO,Rio de Janeiro,RJ,2.568,3
1440,532.0,UNIVERSIDADE REGIONAL DO NOROESTE DO ESTADO DO RIO GRANDE DO SUL,UNIJUI,Ijuí,RS,3.529,4
1441,546.0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE SÃO PAULO,PUCSP,São Paulo,SP,3.306,4
1442,547.0,UNIVERSIDADE DO ESTADO DO RIO DE JANEIRO,UERJ,Rio de Janeiro,RJ,3.563,4
1443,548.0,UNIVERSIDADE FEDERAL DO MARANHÃO,UFMA,São Luís,MA,3.527,4
1444,570.0,UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE,UFRN,Natal,RN,3.832,4
1445,573.0,UNIVERSIDADE FEDERAL DO ESPÍRITO SANTO,UFES,Vitória,ES,3.556,4
1446,575.0,UNIVERSIDADE FEDERAL DE MINAS GERAIS,UFMG,Belo Horizonte,MG,3.453,4
1447,576.0,UNIVERSIDADE FEDERAL DE JUIZ DE FORA,UFJF,Juiz de Fora,MG,3.766,4
1448,577.0,UNIVERSIDADE FEDERAL DE ALAGOAS,UFAL,Maceió,AL,2.521,3
1449,578.0,UNIVERSIDADE FEDERAL DA BAHIA,UFBA,Salvador,BA,3.495,4
1450,579.0,UNIVERSIDADE FEDERAL DA PARAÍBA,UFPB,Rio Tinto,PB,0.703,1
1451,580.0,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,Recife,PE,4.089,5
1452,580.0,UNIVERSIDADE FEDERAL DE PERNAMBUCO,UFPE,Caruaru,PE,2.052,3
1453,581.0,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,Porto Alegre,RS,4.709,5
1454,583.0,UNIVERSIDADE FEDERAL DO CEARÁ,UFC,Fortaleza,CE,3.899,4
1455,585.0,UNIVERSIDADE FEDERAL DE SANTA CATARINA,UFSC,Florianópolis,SC,3.829,4
1456,586.0,UNIVERSIDADE FEDERAL DO RIO DE JANEIRO,UFRJ,Rio de Janeiro,RJ,3.87,4
1457,588.0,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,UTFPR,Curitiba,PR,4.808,5
1458,636.0,ESCOLA SUPERIOR DE PROPAGANDA E MARKETING,ESPM,São Paulo,SP,4.596,5
1459,645.0,Centro Universitário - Católica de Santa Catarina em Jaraguá do Sul,Católica em Jaraguá,Jaraguá do Sul,SC,1.748,2
1461,738.0,CENTRO UNIVERSITÁRIO TERESA D'ÁVILA,FATEA,Lorena,SP,2.584,3
1462,802.0,CENTRO UNIVERSITÁRIO UNICARIOCA,UNICARIOCA,Rio de Janeiro,RJ,1.7,2
1463,823.0,UNIVERSIDADE CEUMA,UNICEUMA,São Luís,MA,0.972,2
1464,861.0,CENTRO DE ENSINO SUPERIOR DO AMAPÁ,CEAP,Macapá,AP,0.972,2
1465,944.0,ESCOLA SUPERIOR DE PROPAGANDA E MARKETING DO RIO DE JANEIRO,ESPM,Rio de Janeiro,RJ,3.434,4
1466,1041.0,UNIVERSIDADE DO VALE DO TAQUARI,UNIVATES,Lajeado,RS,2.516,3
1467,1042.0,UNIVERSIDADE POSITIVO,UP,Curitiba,PR,3.027,4
1468,1042.0,UNIVERSIDADE POSITIVO,UP,Curitiba,PR,3.874,4
1469,1042.0,UNIVERSIDADE POSITIVO,UP,Curitiba,PR,3.764,4
1470,1049.0,INSTITUTO DE ENSINO SUPERIOR FUCAPI,CESF,Manaus,AM,0.0,1
1471,1185.0,CENTRO UNIVERSITÁRIO JORGE AMADO,UNIJORGE,Salvador,BA,2.912,3
1472,1255.0,Centro Universitário FBV Wyden,UniFBV Wyden,Recife,PE,1.933,2
1473,1327.0,ESCOLA SUPERIOR DE PROPAGANDA E MARKETING DE PORTO ALEGRE,ESPM - POA,Porto Alegre,RS,4.041,5
1474,1381.0,Faculdade Martha Falcão Wyden,FMF Wyden,Manaus,AM,2.419,3
1475,1386.0,FACULDADE ESAMC CAMPINAS,ESAMC,Campinas,SP,1.394,2
1476,1427.0,CENTRO UNIVERSITÁRIO DA SERRA GAÚCHA,FSG,Caxias do Sul,RS,3.061,4
1477,1445.0,CENTRO UNIVERSITÁRIO DO INSTITUTO MAUÁ DE TECNOLOGIA,CEUN-IMT,São Caetano do Sul,SP,1.806,2
1478,1468.0,FACULDADE ESAMC UBERLÂNDIA,ESAMC,Uberlândia,MG,1.931,2
1480,1557.0,UNIVERSIDADE FUMEC,FUMEC,Belo Horizonte,MG,2.844,3
1481,1561.0,FACULDADE ESAMC SOROCABA,ESAMC,Sorocaba,SP,2.633,3
1482,1578.0,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE",IFSul,Pelotas,RS,1.714,2
1484,1772.0,Centro Universitário Fanor Wyden,UniFanor Wyden,Fortaleza,CE,1.743,2
1485,1788.0,FACULDADE DE ADMINISTRAÇÃO E ARTES DE LIMEIRA,FAAL,Limeira,SP,3.712,4
1488,1834.0,FACULDADE DE AGUDOS,FAAG,Agudos,SP,1.153,2
1489,2408.0,FACULDADE ESAMC SANTOS,ESAMC,Santos,SP,1.274,2
1491,2556.0,FIAM-FAAM - CENTRO UNIVERSITÁRIO,UNIFIAM-FAAM,São Paulo,SP,2.454,3
1492,2564.0,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,UFCG,Campina Grande,PB,3.609,4
1493,3151.0,UNIVERSIDADE COMUNITÁRIA DA REGIÃO DE CHAPECÓ,UNOCHAPECÓ,Chapecó,SC,3.428,4
1495,3430.0,"Faculdade Uberlandense de Núcleos Integrados de Ensino, Serviço Social e Aprendizagem",FAESSA,Uberlândia,MG,1.784,2
1496,3602.0,CENTRO UNIVERSITÁRIO AUTÔNOMO DO BRASIL,UNIBRASIL,Curitiba,PR,2.909,3
1497,3985.0,CENTRO UNIVERSITÁRIO SENAC,SENACSP,São Paulo,SP,3.392,4
1498,4211.0,Faculdade ESAMC São Paulo - ESAMC,ESAMC,São Paulo,SP,2.001,3
1499,5285.0,FACULDADES INTEGRADAS DE TAQUARA,FACCAT,Taquara,RS,1.29,2
1500,19327.0,Faculdade Cesar,FCE,Recife,PE,3.979,5
1501,1.0,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Cuiabá,MT,2.807,3
1502,1.0,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Pontal do Araguaia,MT,2.573,3
1503,1.0,UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,Cuiabá,MT,3.185,4
1504,2.0,UNIVERSIDADE DE BRASÍLIA,UNB,Brasília,DF,3.836,4
1506,2.0,UNIVERSIDADE DE BRASÍLIA,UNB,Brasília,DF,4.255,5
1507,3.0,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,São Cristóvão,SE,2.839,3
1508,3.0,UNIVERSIDADE FEDERAL DE SERGIPE,UFS,São Cristóvão,SE,4.212,5
1509,4.0,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Manaus,AM,3.283,4
1510,4.0,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Manaus,AM,2.768,3
1511,4.0,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Manaus,AM,2.668,3
1512,4.0,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Parintins,AM,1.827,2
1513,4.0,UNIVERSIDADE FEDERAL DO AMAZONAS,UFAM,Manaus,AM,2.213,3
1514,5.0,UNIVERSIDADE FEDERAL DO PIAUÍ,UFPI,Teresina,PI,3.536,4
1515,6.0,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,Ouro Preto,MG,3.193,4
1516,6.0,UNIVERSIDADE FEDERAL DE OURO PRETO,UFOP,Ouro Preto,MG,4.375,5
1517,7.0,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,São Carlos,SP,4.256,5
1518,7.0,UNIVERSIDADE FEDERAL DE SÃO CARLOS,UFSCAR,São Carlos,SP,4.723,5
1519,8.0,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Viçosa,MG,4.129,5
1520,8.0,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Viçosa,MG,3.985,5
1521,8.0,UNIVERSIDADE FEDERAL DE VIÇOSA,UFV,Florestal,MG,2.864,3
1522,9.0,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,Londrina,PR,3.364,4
1523,9.0,UNIVERSIDADE ESTADUAL DE LONDRINA,UEL,Londrina,PR,3.131,4
1524,10.0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUCPR,Curitiba,PR,3.144,4
1525,10.0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO PARANÁ,PUCPR,Curitiba,PR,2.841,3
1526,12.0,UNIVERSIDADE FEDERAL DO RIO GRANDE,FURG,Rio Grande,RS,4.084,5
1527,13.0,UNIVERSIDADE DE CAXIAS DO SUL,UCS,Caxias do Sul,RS,3.478,4
1528,13.0,UNIVERSIDADE DE CAXIAS DO SUL,UCS,Caxias do Sul,RS,2.321,3
1529,13.0,UNIVERSIDADE DE CAXIAS DO SUL,UCS,Bento Gonçalves,RS,2.892,3
1530,14.0,UNIVERSIDADE DO VALE DO RIO DOS SINOS,UNISINOS,São Leopoldo,RS,2.615,3
1531,14.0,UNIVERSIDADE DO VALE DO RIO DOS SINOS,UNISINOS,São Leopoldo,RS,3.55,4
1532,15.0,UNIVERSIDADE CATÓLICA DE PETRÓPOLIS,UCP,Petrópolis,RJ,3.045,4
1533,17.0,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,Uberlândia,MG,3.264,4
1534,17.0,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,Uberlândia,MG,3.127,4
1535,19.0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,PUC-CAMPINAS,Campinas,SP,3.265,4
1536,19.0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DE CAMPINAS,PUC-CAMPINAS,Campinas,SP,1.878,2
1537,20.0,UNIVERSIDADE DE PASSO FUNDO,UPF,Passo Fundo,RS,2.459,3
1538,20.0,UNIVERSIDADE DE PASSO FUNDO,UPF,Soledade,RS,2.474,3
1539,20.0,UNIVERSIDADE DE PASSO FUNDO,UPF,Passo Fundo,RS,1.956,3
1540,21.0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUCRS,Porto Alegre,RS,3.302,4
1541,21.0,PONTIFÍCIA UNIVERSIDADE CATÓLICA DO RIO GRANDE DO SUL,PUCRS,Porto Alegre,RS,3.069,4
1542,23.0,UNIVERSIDADE FEEVALE,FEEVALE,Novo Hamburgo,RS,3.081,4
1543,23.0,UNIVERSIDADE FEEVALE,FEEVALE,Novo Hamburgo,RS,2.936,3
1544,24.0,UNIVERSIDADE ESTADUAL DE SANTA CRUZ,UESC,Ilhéus,BA,3.15,4
1546,29.0,UNIVERSIDADE ESTADUAL DO CEARÁ,UECE,Fortaleza,CE,3.11,4
1547,29.0,UNIVERSIDADE ESTADUAL DO CEARÁ,UECE,Fortaleza,CE,2.194,3
1548,30.0,UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO,UNIFENAS,Alfenas,MG,1.766,2
1549,30.0,UNIVERSIDADE JOSÉ DO ROSÁRIO VELLANO,UNIFENAS,Divinópolis,MG,2.703,3
1550,40.0,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,Guanambi,BA,2.603,3
1551,40.0,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,Jacobina,BA,2.532,3
1552,40.0,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,Alagoinhas,BA,2.658,3
1553,40.0,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,Salvador,BA,2.453,3
1554,40.0,UNIVERSIDADE DO ESTADO DA BAHIA,UNEB,Teixeira de Freitas,BA,2.408,3
1555,43.0,FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA,UDESC,Florianópolis,SC,3.222,4
1556,43.0,FUNDAÇÃO UNIVERSIDADE DO ESTADO DE SANTA CATARINA,UDESC,Florianópolis,SC,4.019,5
1557,47.0,UNIVERSIDADE ESTADUAL DE GOIÁS,UEG,Goiânia,GO,2.736,3
1558,47.0,UNIVERSIDADE ESTADUAL DE GOIÁS,UEG,Quirinópolis,GO,1.872,2
1559,47.0,UNIVERSIDADE ESTADUAL DE GOIÁS,UEG,Porangatu,GO,1.521,2
1560,47.0,UNIVERSIDADE ESTADUAL DE GOIÁS,UEG,Itumbiara,GO,1.39,2
1561,47.0,UNIVERSIDADE ESTADUAL DE GOIÁS,UEG,Itumbiara,GO,1.967,3
1562,47.0,UNIVERSIDADE ESTADUAL DE GOIÁS,UEG,Porangatu,GO,1.625,2
1563,47.0,UNIVERSIDADE ESTADUAL DE GOIÁS,UEG,Goiânia,GO,2.644,3
1564,54.0,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,Campinas,SP,4.655,5
1565,54.0,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,Campinas,SP,4.752,5
1566,54.0,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,Campinas,SP,4.928,5
1567,54.0,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,Campinas,SP,4.726,5
1568,54.0,UNIVERSIDADE ESTADUAL DE CAMPINAS,UNICAMP,Limeira,SP,4.129,5
1569,56.0,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Bauru,SP,4.402,5
1570,56.0,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Presidente Prudente,SP,3.559,4
1571,56.0,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Rio Claro,SP,4.311,5
1572,56.0,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Rio Claro,SP,3.723,4
1573,56.0,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Bauru,SP,4.429,5
1574,56.0,UNIVERSIDADE ESTADUAL PAULISTA JÚLIO DE MESQUITA FILHO,UNESP,Presidente Prudente,SP,2.85,3
1575,57.0,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,Maringá,PR,2.817,3
1576,57.0,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,Maringá,PR,4.503,5
1577,57.0,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,Maringá,PR,2.84,3
1578,57.0,UNIVERSIDADE ESTADUAL DE MARINGÁ,UEM,Ivaiporã,PR,2.784,3
1579,68.0,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE PENÁPOLIS,FAFIPE,Penápolis,SP,1.927,2
1580,71.0,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,UERN,Mossoró,RN,2.907,3
1581,71.0,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,UERN,Pau dos Ferros,RN,2.951,4
1582,71.0,UNIVERSIDADE DO ESTADO DO RIO GRANDE DO NORTE,UERN,Mossoró,RN,2.555,3
1583,74.0,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE SÃO JOSÉ DO RIO PARDO,FFCL,São José do Rio Pardo,SP,1.377,2
1584,76.0,UNIVERSIDADE REGIONAL DE BLUMENAU,FURB,Blumenau,SC,2.785,3
1585,76.0,UNIVERSIDADE REGIONAL DE BLUMENAU,FURB,Blumenau,SC,3.687,4
1587,80.0,CENTRO UNIVERSITÁRIO PARA O DESENVOLVIMENTO DO ALTO VALE DO ITAJAÍ,UNIDAVI,Rio do Sul,SC,3.508,4
1588,81.0,UNIVERSIDADE DA REGIÃO DE JOINVILLE,UNIVILLE,Joinville,SC,1.683,2
1589,81.0,UNIVERSIDADE DA REGIÃO DE JOINVILLE,UNIVILLE,Joinville,SC,2.246,3
1590,81.0,UNIVERSIDADE DA REGIÃO DE JOINVILLE,UNIVILLE,São Bento do Sul,SC,1.81,2
1591,82.0,UNIVERSIDADE DO OESTE DE SANTA CATARINA,UNOESC,São Miguel do Oeste,SC,3.162,4
1594,82.0,UNIVERSIDADE DO OESTE DE SANTA CATARINA,UNOESC,Joaçaba,SC,2.305,3
1595,82.0,UNIVERSIDADE DO OESTE DE SANTA CATARINA,UNOESC,Xanxerê,SC,1.742,2
1596,82.0,UNIVERSIDADE DO OESTE DE SANTA CATARINA,UNOESC,Chapecó,SC,2.828,3
1597,82.0,UNIVERSIDADE DO OESTE DE SANTA CATARINA,UNOESC,Chapecó,SC,3.075,4
1598,82.0,UNIVERSIDADE DO OESTE DE SANTA CATARINA,UNOESC,São Miguel do Oeste,SC,2.271,3
1599,82.0,UNIVERSIDADE DO OESTE DE SANTA CATARINA,UNOESC,Videira,SC,2.563,3
1600,82.0,UNIVERSIDADE DO OESTE DE SANTA CATARINA,UNOESC,Joaçaba,SC,3.143,4
1601,83.0,UNIVERSIDADE DO VALE DO ITAJAÍ,UNIVALI,Itajaí,SC,2.985,4
1602,83.0,UNIVERSIDADE DO VALE DO ITAJAÍ,UNIVALI,Itajaí,SC,3.041,4
1603,83.0,UNIVERSIDADE DO VALE DO ITAJAÍ,UNIVALI,Biguaçu,SC,1.447,2
1605,87.0,CENTRO UNIVERSITÁRIO DE BRUSQUE,UNIFEBE,Brusque,SC,4.38,5
1606,95.0,UNIVERSIDADE ESTADUAL VALE DO ACARAÚ,UVA,Sobral,CE,1.826,2
1607,95.0,UNIVERSIDADE ESTADUAL VALE DO ACARAÚ,UVA,Sobral,CE,1.694,2
1608,107.0,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,São João del Rei,MG,3.329,4
1609,107.0,UNIVERSIDADE FEDERAL DE SÃO JOÃO DEL REI,UFSJ,São João del Rei,MG,3.977,5
1610,124.0,UNIVERSIDADE DE ARARAQUARA,UNIARA,Araraquara,SP,2.582,3
1611,124.0,UNIVERSIDADE DE ARARAQUARA,UNIARA,Araraquara,SP,2.655,3
1612,135.0,Claretiano - Centro Universitário,CLARETIANOBT,Batatais,SP,2.13,3
1613,135.0,Claretiano - Centro Universitário,CLARETIANOBT,Batatais,SP,2.399,3
1614,135.0,Claretiano - Centro Universitário,CLARETIANOBT,Batatais,SP,2.414,3
1615,135.0,Claretiano - Centro Universitário,CLARETIANOBT,Batatais,SP,2.49,3
1616,142.0,CENTRO UNIVERSITÁRIO DO TRIÂNGULO,UNITRI,Uberlândia,MG,1.45,2
1617,142.0,CENTRO UNIVERSITÁRIO DO TRIÂNGULO,UNITRI,Uberlândia,MG,2.048,3
1618,143.0,UNIVERSIDADE DE UBERABA,UNIUBE,Uberaba,MG,2.646,3
1619,143.0,UNIVERSIDADE DE UBERABA,UNIUBE,Uberaba,MG,3.02,4
1620,143.0,UNIVERSIDADE DE UBERABA,UNIUBE,Uberaba,MG,2.57,3
1621,146.0,CENTRO UNIVERSITÁRIO DE RIO PRETO,UNIRP,São José do Rio Preto,SP,2.731,3
1622,146.0,CENTRO UNIVERSITÁRIO DE RIO PRETO,UNIRP,São José do Rio Preto,SP,2.111,3
1623,150.0,UNIVERSIDADE DE SOROCABA,UNISO,Sorocaba,SP,4.729,5
1624,150.0,UNIVERSIDADE DE SOROCABA,UNISO,Sorocaba,SP,4.213,5
1625,158.0,CONSERVATÓRIO BRASILEIRO DE MÚSICA - CENTRO UNIVERSITÁRIO BRASILEIRO DE EDUCAÇÃO,CBM-UniCBE,Rio de Janeiro,RJ,1.2,2
1626,158.0,CONSERVATÓRIO BRASILEIRO DE MÚSICA - CENTRO UNIVERSITÁRIO BRASILEIRO DE EDUCAÇÃO,CBM-UniCBE,Rio de Janeiro,RJ,1.652,2
1627,158.0,CONSERVATÓRIO BRASILEIRO DE MÚSICA - CENTRO UNIVERSITÁRIO BRASILEIRO DE EDUCAÇÃO,CBM-UniCBE,Rio de Janeiro,RJ,1.181,2
1628,158.0,CONSERVATÓRIO BRASILEIRO DE MÚSICA - CENTRO UNIVERSITÁRIO BRASILEIRO DE EDUCAÇÃO,CBM-UniCBE,Rio de Janeiro,RJ,0.933,1
1629,163.0,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Rio de Janeiro,RJ,2.829,3
1630,163.0,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Rio de Janeiro,RJ,2.76,3
1631,163.0,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Rio de Janeiro,RJ,2.767,3
1632,163.0,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Cabo Frio,RJ,2.248,3
1633,163.0,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Nova Friburgo,RJ,2.846,3
1634,163.0,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Rio de Janeiro,RJ,1.738,2
1635,163.0,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Rio de Janeiro,RJ,2.906,3
1636,163.0,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Macaé,RJ,3.323,4
1637,163.0,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Petrópolis,RJ,2.58,3
1638,163.0,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Nova Iguaçu,RJ,1.72,2
1639,163.0,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Rio de Janeiro,RJ,2.527,3
1640,163.0,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Rio de Janeiro,RJ,3.136,4
1641,163.0,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Petrópolis,RJ,2.422,3
1642,163.0,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Nova Friburgo,RJ,2.667,3
1643,163.0,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Cabo Frio,RJ,1.272,2
1644,163.0,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Nova Iguaçu,RJ,3.367,4
1645,163.0,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Rio de Janeiro,RJ,2.834,3
1646,163.0,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Resende,RJ,1.392,2
1647,163.0,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Rio de Janeiro,RJ,1.202,2
1648,163.0,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Rio de Janeiro,RJ,1.47,2
1649,163.0,UNIVERSIDADE ESTÁCIO DE SÁ,UNESA,Teresópolis,RJ,2.136,3
1650,165.0,UNIVERSIDADE VEIGA DE ALMEIDA,UVA,Cabo Frio,RJ,3.982,5
1651,165.0,UNIVERSIDADE VEIGA DE ALMEIDA,UVA,Cabo Frio,RJ,3.006,4
1652,167.0,UNIVERSIDADE METODISTA DE SÃO PAULO,UMESP,São Bernardo do Campo,SP,1.897,2
1653,167.0,UNIVERSIDADE METODISTA DE SÃO PAULO,UMESP,São Bernardo do Campo,SP,2.464,3
1654,176.0,UNIVERSIDADE CASTELO BRANCO,UCB,Rio de Janeiro,RJ,2.843,3
1655,176.0,UNIVERSIDADE CASTELO BRANCO,UCB,Rio de Janeiro,RJ,2.928,3
1656,203.0,UNIVERSIDADE SÃO JUDAS TADEU,USJT,São Paulo,SP,3.047,4
1657,203.0,UNIVERSIDADE SÃO JUDAS TADEU,USJT,São Paulo,SP,3.05,4
1658,206.0,CENTRO UNIVERSITÁRIO ÍTALO-BRASILEIRO,UNIÍTALO,São Paulo,SP,2.291,3
1659,206.0,CENTRO UNIVERSITÁRIO ÍTALO-BRASILEIRO,UNIÍTALO,São Paulo,SP,1.988,3
1660,207.0,CENTRO UNIVERSITÁRIO MOURA LACERDA,CUML,Jaboticabal,SP,1.731,2
1662,207.0,CENTRO UNIVERSITÁRIO MOURA LACERDA,CUML,Ribeirão Preto,SP,2.206,3
1663,208.0,UNIVERSIDADE DE RIBEIRÃO PRETO,UNAERP,Ribeirão Preto,SP,3.318,4
1664,208.0,UNIVERSIDADE DE RIBEIRÃO PRETO,UNAERP,Guarujá,SP,2.403,3
1665,208.0,UNIVERSIDADE DE RIBEIRÃO PRETO,UNAERP,Ribeirão Preto,SP,3.677,4
1666,208.0,UNIVERSIDADE DE RIBEIRÃO PRETO,UNAERP,Guarujá,SP,2.833,3
1667,216.0,CENTRO UNIVERSITÁRIO METODISTA IZABELA HENDRIX,CEUNIH,Belo Horizonte,MG,4.056,5
1668,216.0,CENTRO UNIVERSITÁRIO METODISTA IZABELA HENDRIX,CEUNIH,Belo Horizonte,MG,2.875,3
1669,217.0,CENTRO UNIVERSITÁRIO DAS FACULDADES ASSOCIADAS DE ENSINO - FAE,UNIFAE,São João da Boa Vista,SP,2.6,3
1670,221.0,UNIVERSIDADE CRUZEIRO DO SUL,UNICSUL,São Paulo,SP,1.926,2
1671,221.0,UNIVERSIDADE CRUZEIRO DO SUL,UNICSUL,São Paulo,SP,2.255,3
1672,221.0,UNIVERSIDADE CRUZEIRO DO SUL,UNICSUL,São Paulo,SP,1.942,2
